resource,case:concept:name,case:creator,concept:name,org:resource,time:timestamp
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:38:27
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Keith Donald,2012-07-04 12:38:27
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:38:27
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:38:27
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:27
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:38:26
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:26
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Keith Donald,2012-07-04 12:38:26
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Keith Donald,2012-07-04 12:38:26
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Keith Donald,2012-07-04 12:38:26
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Roy Clarkson,2012-07-04 12:38:26
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Craig Walls,2012-07-04 12:38:26
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:26
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:26
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:26
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:26
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:26
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:26
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Keith Donald,2012-07-04 12:38:26
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Keith Donald,2012-07-04 12:38:25
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:38:25
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:25
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:25
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Keith Donald,2012-07-04 12:38:25
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:25
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:25
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:25
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:25
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:25
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:25
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:25
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:25
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Keith Donald,2012-07-04 12:38:24
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:24
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:24
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:38:24
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:24
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:24
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:24
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Roy Clarkson,2012-07-04 12:38:24
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Keith Donald,2012-07-04 12:38:24
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Roy Clarkson,2012-07-04 12:38:24
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Craig Walls,2012-07-04 12:38:23
vicina,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",vicina,Resolved,Craig Walls,2012-07-04 12:38:23
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:23
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:23
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:23
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:23
Rohit Pant,The issue is open and ready for the assignee to start work on it.,Rohit Pant,Open,Keith Donald,2012-07-04 12:38:23
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Keith Donald,2012-07-04 12:38:23
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:23
Lorenz Schumann,The issue is open and ready for the assignee to start work on it.,Lorenz Schumann,Open,Keith Donald,2012-07-04 12:38:23
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:22
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:38:22
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:22
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:22
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:22
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:22
NOT ME,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",NOT ME,Resolved,Craig Walls,2012-07-04 12:38:22
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:22
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:38:22
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:38:21
Krishna,The issue is open and ready for the assignee to start work on it.,Krishna,Open,Keith Donald,2012-07-04 12:38:21
Ivan Sharamet,The issue is open and ready for the assignee to start work on it.,Ivan Sharamet,Open,Keith Donald,2012-07-04 12:38:21
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Craig Walls,2012-07-04 12:38:21
